"idTypeMusique","nomTypeMusique","caracteristiqueTypeMusique"
1,"Rock","le Rock est un genre musical apparu dans les années 1950 aux États-Unis et qui s'est développé en différents sous-genres à partir des années 1960, notamment aux États-Unis et au Royaume-Uni."
2,"Pop","La pop est un genre musical apparu dans les années 1960 au Royaume-Uni et aux États-Unis. La pop est l'abréviation de popular. Elle est moins complexe que la musique rock, dont elle s'inspire, et vise un public plus large."
3,"Rap","Le rap est un mouvement culturel et musical prenant ses racines du hip-hop, ayant émergé au début des années 1970 dans les ghettos aux États-Unis. Le rap se caractérise par sa diction très rythmée et ses paroles rimées."
4,"Classique","La musique classique est un genre musical occidental ayant émergé au cours de la période baroque, vers 1650, pour s'achever dans le courant du XXe siècle. Il s'agit d'une musique écrite, en opposition à la musique dite populaire ou traditionnelle."
5,"Jazz","Le jazz est un genre musical originaire du Sud des États-Unis, créé à la fin du XIXe siècle et au début du XXe siècle au sein des communautés afro-américaines. Avec plus de cent ans d'existence, du ragtime au jazz actuel, il recouvre de nombreux sous-genres marqués par un héritage de la musique euro-américaine et afro-américaine, et conçus pour être joués en public."
6,"Electro","La musique électronique est une forme de musique utilisant des instruments de musique électroniques ou électromécaniques, ainsi que des dispositifs électroniques, tels que des circuits électroniques, des ordinateurs et des logiciels informatiques, générateurs de sons électroniques."
7,"Reggae","Le reggae est un genre musical ayant émergé à la fin des années 1960, il est la plus populaire des expressions musicales jamaïcaines. Il tire ses origines de ska et du rocksteady, mais aussi du calypso et du jazz. Le reggae se caractérise par un tempo à la croche marqué par la guitare ou la basse, une accentuation du deuxième et du quatrième temps de la mesure, et une structure musicale en shuffle."
8,"RnB","Le RnB contemporain est un genre musical issu du RnB des années 1980. Il est caractérisé par une structure musicale minimaliste, des rythmes syncopés et des mélodies vocales. Les paroles sont souvent centrées sur les thèmes de l'amour et des relations."
9,"Metal","Le heavy metal est un genre musical dérivé du rock apparu au Royaume-Uni et aux États-Unis à la fin des années 1960. Cependant, le terme de heavy metal est sujet à confusion car il peut prendre plusieurs sens différents selon le contexte dans lequel il est employé."
10,"Soul","La soul est un genre musical ayant émergé aux États-Unis à la fin des années 1950. Issu du gospel et du blues, elle est considérée comme un retour aux sources de la musique noire américaine. La soul se caractérise par des chants puissants et expressifs, et des rythmes marqués par la section rythmique et les cuivres."
